date,region,product,units,revenue
2025-01-02,North,Widget-A,42,12540
2025-01-03,South,Widget-B,35,9730
2025-01-04,East,Gadget-X,28,11120
2025-01-05,West,Widget-A,31,9365
2025-01-06,North,Gadget-Y,22,10010
2025-01-07,South,Widget-C,40,13920
2025-01-08,East,Widget-B,26,7345
2025-01-09,West,Gadget-X,19,6550
2025-01-10,North,Widget-C,33,11620
2025-01-11,South,Gadget-Y,24,10710
2025-01-12,East,Widget-A,37,11025
2025-01-13,West,Widget-B,29,8065
2025-01-14,North,Gadget-X,21,8485
2025-01-15,South,Widget-A,45,15200
2025-01-16,East,Gadget-Y,18,7980
2025-01-17,West,Widget-C,27,9515
2025-01-18,North,Widget-B,34,9580
2025-01-19,South,Gadget-X,23,9260
2025-01-20,East,Widget-C,30,9730
2025-01-21,West,Gadget-Y,20,8320
2025-01-22,North,Widget-A,39,10810
2025-01-23,South,Widget-B,32,8360
2025-01-24,East,Gadget-X,25,9150
2025-01-25,West,Widget-A,36,9970
2025-01-26,North,Gadget-Y,27,10920
2025-01-27,South,Widget-C,29,10110
2025-01-28,East,Widget-B,41,11540
2025-01-29,West,Gadget-X,24,9675
2025-01-30,North,Widget-C,38,13240
2025-01-31,South,Gadget-Y,26,11585
